localhost:
 Date: Mar 27, 2023
11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>;  : (+)====================================(+); Table_Name: om_assigned_ips; : (+); Attributes: dynamic, id 434, attributes: keep, sync, kbuf 1, local sync, expires 900, , hashsize 512, limit 30000; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.22.115; UserName: CN=ibrahimpozan,OU=users,O=cpmodule..8qhxcd; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13910/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.212; UserName: imren.isik; Netmask: 255.255.240.0; Method: IP Pools; Expires: 7457/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.166; UserName: CN=canerdalcikoglu,OU=users,O=cpmodule..8qhxcd; Netmask: 255.255.240.0; Method: IP Pools; Expires: 14118/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.144; UserName: yunus.fidan; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13685/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.20.161; UserName: erdal.orakci; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13951/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.20.127; UserName: yesim.aydin; Netmask: 255.255.240.0; Method: IP Pools; Expires: 12003/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.76; UserName: ŞÜKRİYE.DENİZLİ; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13691/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.234; UserName: ZEYNEP.KOK; Netmask: 255.255.240.0; Method: IP Pools; Expires: 12341/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.132; UserName: oyku.sensoz; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13544/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.20.104; UserName: CN=editfarago,OU=users,O=cpmodule..8qhxcd; Netmask: 255.255.240.0; Method: IP Pools; Expires: 8094/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.20.93; UserName: mehmet.sensoy; Netmask: 255.255.240.0; Method: IP Pools; Expires: 13837/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.20.138; UserName: aliosman.sengul; Netmask: 255.255.240.0; Method: IP Pools; Expires: 10004/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
 11:26:41 5 N/A  N/A    172.17.0.2 > N/A  LogId: <max_null>; ContextNum: <max_null>; OriginSicName: <max_null>; OMAddress: 172.20.21.200; UserName: CN=zelihaturkoglu,OU=users,O=cpmodule..8qhxcd; Netmask: 255.255.240.0; Method: IP Pools; Expires: 7287/14400; LastUpdateTime: 27Mar2023 11:26:41; ProductName: VPN-1 & FireWall-1; ProductFamily: Network;
